token,frequency,length
vouch,1,5
holofern,1,8
scantat,1,7
crack,2,5
stuffd,1,6
slake,1,5
cleap,1,5
ducat,1,5
add,3,3
publiu,1,6
exampl,2,6
courag,2,6
pa,2,2
edmund,1,6
cobweb,1,6
dishonour,2,9
observ,3,6
befriend,1,8
inli,1,4
expureacold,1,11
green,2,5
born,9,4
educ,1,4
dearerstal,1,10
fairnak,1,7
nichola,1,7
cymbelin,2,8
forsak,1,6
necessari,1,9
region,1,6
skill,1,5
hasti,1,5
git,1,3
bewitchd,1,8
pictu,1,5
receiv,3,6
partner,1,7
offend,2,6
hurder,1,6
april,1,5
bethemlo,1,8
trust,4,5
form,1,4
conveyd,2,7
glass,2,5
treasur,1,7
boar,1,4
giddi,2,5
tabour,1,6
justli,1,6
start,1,5
crowd,1,5
mortifi,1,7
oppos,1,5
bretagn,1,7
purchas,2,7
led,1,3
opend,1,5
ulconceiv,1,9
fine,2,4
satisfact,1,9
redress,1,7
silenc,2,6
also,1,4
capon,1,5
tortur,1,6
blue,2,4
epithant,1,8
blunt,3,5
sink,1,4
pixtur,1,6
enamounc,1,8
wherein,1,7
costard,1,7
syracus,2,7
opposit,1,7
tast,4,4
coxcomb,1,7
achil,2,5
lancast,1,7
garment,1,7
prescript,1,9
suit,5,4
orth,1,4
fumbl,1,5
meek,1,4
weav,2,4
room,1,4
terror,4,6
sacrament,1,9
struck,5,6
venom,1,5
laughest,1,8
hark,3,4
bertram,3,7
pregnant,1,8
obscur,2,6
moment,2,6
pot,1,3
guiltless,1,9
poisond,1,7
acid,1,4
twixt,2,5
examin,1,6
grappl,1,6
march,1,5
flitteri,1,8
amplement,1,9
bock,1,4
antoniu,1,7
juliet,2,6
dometh,1,6
hunt,1,4
act,3,3
overpreseld,1,11
reckon,1,6
overreason,1,10
hid,1,3
beximpt,1,7
farther,1,7
armardo,1,7
applement,1,9
besom,1,5
account,1,7
barren,2,6
nephew,3,6
peep,2,4
ravish,2,6
rudesti,1,7
ambiti,1,6
speakd,1,6
shourd,1,6
renown,1,6
greater,3,7
sort,1,4
senseless,1,9
annointd,1,8
ammit,1,5
malici,1,6
distanc,1,7
laert,1,5
departur,1,8
callst,1,6
music,3,5
palfag,1,6
int,2,3
cap,1,3
hundr,3,5
fatenot,1,7
preced,1,6
messala,1,7
avoid,2,5
wretched,2,8
wrath,2,5
mingl,1,5
where,3,5
stale,1,5
lather,1,6
rememberd,1,9
rivel,1,5
woo,1,3
freeli,1,6
dota,1,4
handkerchief,1,12
desert,2,6
scornd,1,6
port,2,4
gilti,1,5
dismercis,1,9
vexd,1,4
craveth,1,7
portion,1,7
dread,1,5
lo,1,2
shace,1,5
leonin,1,6
frailti,1,7
costli,1,6
alexand,2,7
pleasur,4,7
heap,1,4
eveng,1,5
wageri,1,6
jew,1,3
taller,1,6
ade,1,3
gladli,1,6
countli,1,7
hardli,1,6
properti,1,8
burn,2,4
worm,1,4
forti,1,5
consulblesd,1,11
cromwel,1,7
robber,1,6
icad,1,4
dat,1,3
ceremoni,1,8
intermi,1,7
selfbreath,1,10
spring,2,6
stretch,1,7
pericl,2,6
stoppd,1,6
fever,2,5
dispatch,1,8
heat,2,4
entranc,1,7
peasi,1,5
claudiu,3,7
spastial,1,8
choler,1,6
cressid,2,7
whereof,1,7
shower,2,6
here,3,4
disgrac,1,7
firmlyrot,1,9
bawdi,1,5
bret,1,4
conquest,1,8
helicanu,1,8
oerwak,1,6
degre,2,5
stephano,2,8
vexat,1,5
craft,1,5
certainri,1,9
intapercaval,1,12
thrown,1,6
heed,3,4
tilt,1,4
cross,2,5
bedick,1,6
alreadi,1,7
juliu,2,5
least,3,5
votari,1,6
score,1,5
awe,1,3
juno,1,4
flaviu,1,6
painless,1,8
morsel,1,6
ampl,1,4
trial,1,5
earthlygrudg,1,12
paint,2,5
recoveri,1,8
trencher,1,8
outlaw,2,6
chreek,1,6
herd,1,4
inch,1,4
hew,2,3
guardman,1,8
seek,2,4
seet,2,4
belong,1,6
consul,1,6
agent,1,5
marciu,2,6
toward,2,6
wealth,2,6
unmonsterd,1,10
consumpt,1,8
britti,1,6
lullabi,1,7
wolcest,1,7
caret,1,5
ingratitud,1,10
prison,1,6
ariel,1,5
whip,1,4
depart,1,6
grove,1,5
rack,1,4
mritag,1,6
ingl,1,4
in,1,2
despit,1,6
poloniu,1,7
tyranni,2,7
whereov,1,7
tender,3,6
ruther,1,6
pro,1,3
contrari,1,8
outward,2,7
price,1,5
basket,2,6
indign,1,6
asdeemd,1,7
dreamd,1,6
aro,1,3
view,2,4
work,3,4
correct,3,7
bruiss,1,6
aunt,2,4
diet,1,4
fling,1,5
ambidiu,1,7
wirld,1,5
conceal,1,7
maria,1,5
dy,1,2
fuver,1,5
hat,1,3
suarp,1,5
charm,1,5
bupti,1,5
anoint,1,6
slumber,1,7
pleaseth,1,8
bame,1,4
bondl,1,5
grey,2,4
robe,1,4
gonzalo,1,7
seald,1,5
hire,1,4
enter,1,5
hollow,2,6
implandag,1,9
split,1,5
wroughtst,1,9
spent,3,5
awak,1,4
speechant,1,9
thoma,3,5
laurenc,1,7
inu,1,3
nomin,1,5
poin,1,4
ulyss,1,5
toldst,1,6
kneel,2,5
dot,2,3
deciu,1,5
sitmis,1,6
lackd,1,5
express,2,7
snall,1,5
almost,3,6
forsworn,1,8
flung,1,5
voac,1,4
pestil,1,6
infurnish,1,9
forbear,3,7
heir,1,4
save,3,4
stod,1,4
thread,1,6
imperi,1,6
couchd,1,6
partest,1,7
importun,1,8
stackd,1,6
either,3,6
cabrou,1,6
funtl,1,5
unmannd,1,7
knife,1,5
grazm,1,5
loll,1,4
agre,1,4
dearli,2,6
oerphysick,1,10
lightpouch,1,10
ruin,1,4
stray,1,5
tom,2,3
hairkil,1,7
gentlenesso,1,11
apparel,1,7
speakst,1,7
fouth,1,5
touch,2,5
horsessweet,1,11
harmless,1,8
stori,4,5
convriti,1,8
pawn,1,4
sorrow,4,6
atch,1,4
butt,1,4
weeder,1,6
mantl,1,5
camest,1,6
cours,2,5
taen,2,4
fourth,1,6
raven,1,5
abid,1,4
bent,1,4
process,1,7
halfkind,1,8
everish,1,7
protect,1,7
whenc,1,5
taze,1,4
salt,1,4
bow,1,3
beautifi,1,8
flame,1,5
ah,2,2
cnrimon,1,7
loyalti,1,7
tiom,1,4
rite,1,4
greatli,1,7
hemn,1,4
twelvemonth,1,11
absent,2,6
chide,1,5
fad,1,3
guid,2,4
orland,1,6
scant,1,5
harmborn,1,8
turnd,1,5
entertaind,1,10
breedingri,1,10
unfriend,1,8
devis,1,5
allow,1,5
laugh,1,5
savantri,1,8
deraim,1,6
simplic,1,7
noticili,1,8
prophet,1,7
folli,2,5
liar,1,4
backward,1,8
exceed,1,6
assist,1,6
legion,1,6
conspect,1,8
whet,1,4
travelld,1,8
pair,1,4
resort,1,6
bitterli,1,8
chafe,2,5
gesti,1,5
periliu,1,7
jessica,2,7
tarru,1,5
twere,2,5
damnd,2,5
likest,1,6
plight,1,6
bevi,1,4
adventur,1,8
fond,1,4
oword,1,5
gentli,1,6
conscienc,1,9
treacheri,1,9
inkind,1,6
trueh,1,5
nickli,1,6
modest,1,6
monarch,1,7
fent,1,4
decis,1,5
weaker,1,6
princess,1,8
decus,1,5
traverl,1,7
kinnlamb,1,8
mrustanc,1,8
charact,2,7
lief,2,4
shortest,1,8
bait,3,4
girland,1,7
tellest,1,7
brawl,1,5
wight,1,5
shown,1,5
seed,1,4
simpl,2,5
uncalld,1,7
shut,1,4
flow,1,4
accis,1,5
suve,1,4
blush,2,5
pun,1,3
summer,1,6
moonshin,1,8
browli,1,6
west,1,4
lendl,1,5
coldbelli,1,9
rib,1,3
clamour,1,7
cheer,1,5
mate,1,4
band,1,4
nun,1,3
quarrel,2,7
auvergn,1,7
vantag,1,6
thickest,1,8
losta,1,5
salarino,2,8
slain,1,5
guest,1,5
oft,2,3
us,2,2
hail,1,4
valant,1,6
rob,1,3
remost,1,6
fliest,1,6
srancest,1,8
merili,1,6
butcher,1,7
skare,1,5
utter,2,5
prodigi,1,7
cun,1,3
diunder,1,7
impart,1,6
grump,1,5
reynaldo,1,8
tram,1,4
fairest,1,7
repos,2,5
oonzalo,1,7
jealou,1,6
hack,1,4
weari,1,5
corn,1,4
wondr,1,5
payment,1,7
imagin,1,6
gict,1,4
detect,1,6
paragon,1,7
lover,1,5
commit,1,6
dismal,1,6
salisburi,2,9
goth,1,4
hum,1,3
bequeathd,1,9
penit,1,5
twelv,1,5
speedshrewd,1,11
ned,1,3
worthier,1,8
larg,1,4
hypous,1,6
attent,1,6
theyr,2,5
eloqu,1,5
martial,1,7
lion,1,4
lovest,1,6
lap,1,3
siana,1,5
nearer,1,6
changeabl,1,9
nation,2,6
wretchd,1,7
aloud,1,5
counsellor,1,10
terman,1,6
joint,1,5
flier,1,5
frosti,2,6
plume,1,5
vain,1,4
nose,1,4
renew,1,5
sweetlik,1,8
luggag,1,6
thaisa,1,6
disfair,1,7
foe,2,3
advis,1,5
griev,2,5
tarriag,1,7
instruct,2,8
duppd,1,5
profan,2,6
chronic,1,7
church,1,6
inlaw,1,5
dower,1,5
foin,1,4
store,1,5
bassianu,1,8
forsooth,2,8
sworn,2,5
stafford,2,8
tamora,2,6
jove,1,4
fe,1,2
credit,1,6
quench,1,6
befeen,1,6
stoni,1,5
hole,1,4
defil,1,5
temper,1,6
dust,1,4
stinf,1,5
ferdinand,1,9
peddur,1,6
stake,1,5
forbid,2,6
vast,1,4
titania,1,7
th,1,2
smallest,1,8
sgriev,1,6
thrice,1,6
rascal,1,6
rhing,1,5
smwell,1,6
herald,1,6
afford,1,6
distinct,1,8
induct,1,6
fawn,1,4
sli,1,3
orlean,1,6
iron,1,4
hammer,1,6
ferend,1,6
dowri,1,5
geld,1,4
caught,1,6
expir,2,5
challeng,1,8
sieg,1,4
bekon,1,5
bactista,1,8
frenchman,1,9
feel,1,4
catesbi,1,7
staind,2,6
buckingham,3,10
shoy,1,4
spare,2,5
finger,2,6
ambit,1,5
alexa,1,5
displac,1,7
daugla,1,6
iwar,1,4
sale,1,4
wildiam,1,7
contain,1,7
five,2,4
inquir,1,6
consequ,2,7
predect,1,7
scing,1,5
weak,3,4
charmian,4,8
pindaru,1,7
ist,1,3
twa,3,3
entir,1,5
younger,1,7
meel,1,4
keeper,1,6
betray,1,6
bottom,1,6
cirrolu,1,7
prize,1,5
cloak,1,5
pricketh,1,8
dissentur,1,9
huntingman,1,10
mardi,1,5
stoln,1,5
wake,1,4
bleed,1,5
tarri,2,5
woundeth,1,8
eild,1,4
tailor,1,6
elderkin,1,8
train,1,5
narrow,1,6
dew,1,3
estiff,1,6
intend,1,6
deceiv,1,6
beaten,1,6
silken,1,6
vernon,1,6
copperd,1,7
harmoni,1,7
object,2,6
taodless,1,8
snaverd,1,7
hoe,1,3
carv,1,4
transgorm,1,9
wildri,1,6
distribut,1,9
sulm,1,4
contemptur,1,10
easest,1,6
tread,1,5
ventur,1,6
lockd,1,5
stream,1,6
thouldst,1,8
grudg,1,5
thinkst,1,7
cupbos,1,6
fallend,1,7
fetch,1,5
fruit,1,5
sulrenc,1,7
armd,1,4
deliver,1,7
forehead,2,8
razer,1,5
borrow,1,6
eeard,1,5
ratcliff,1,8
witchcraft,2,10
perchanc,1,8
surgeon,1,7
houdli,1,6
trade,1,5
knowest,1,7
presum,1,6
ake,1,3
gobl,1,4
gabe,1,4
endur,1,5
hamper,1,6
conflunct,1,9
displeasur,1,10
halt,1,4
pompey,3,6
howsoeer,1,8
undirect,1,8
raptur,1,6
lack,1,4
oerpeach,1,8
godli,1,5
averch,1,6
sequel,1,6
six,2,3
nut,1,3
health,2,6
eless,1,5
gremio,1,6
epithe,1,6
methought,1,9
amongst,1,7
prevail,1,7
fairli,1,6
asugn,1,5
encount,2,7
silviu,1,6
expos,2,5
sener,1,5
aloft,1,5
ard,1,3
wateri,1,6
gracious,1,8
roderigo,1,8
pain,3,4
hield,1,5
tetl,1,4
strong,2,6
execution,1,9
bowl,1,4
hap,1,3
lurk,1,4
omnon,1,5
huge,1,4
qualifi,1,7
refus,1,5
heav,1,4
top,1,3
revel,1,5
question,1,8
jade,1,4
elvina,1,6
courtfrail,1,10
sightth,1,7
destroy,1,7
industri,1,8
cuckold,1,7
captain,1,7
sall,1,4
torturi,1,7
countenanc,1,10
success,1,7
fifth,1,5
acquaint,1,8
breathur,1,8
deer,1,4
articl,1,6
overfoold,1,9
cowardi,1,7
term,1,4
wager,1,5
outrag,1,6
climb,1,5
untel,1,5
froze,1,5
astempt,1,7
wondrou,1,7
nous,1,4
nod,1,3
tawni,1,5
paulina,1,7
incens,1,6
yea,1,3
guistur,1,7
isemoni,1,7
disobd,1,6
nine,1,4
sickli,1,6
stiff,1,5
agamemnon,1,9
mistook,1,7
denilo,1,6
mayst,1,5
snown,1,5
shrewsburi,1,10
katharina,1,9
duch,1,4
hotspur,1,7
fat,1,3
poetri,1,6
abl,1,3
prologu,1,7
fleeti,1,6
requir,1,6
purg,1,4
sabbar,1,6
wape,1,4
compar,1,6
sooth,1,5
absolut,1,7
famou,2,5
lunaci,1,6
destruct,1,8
brind,1,5
cotmus,1,6
comprev,1,7
permi,1,5
treacher,1,8
edg,2,3
wine,1,4
belariu,1,7
mortali,1,7
naughti,1,7
assembl,1,7
sesnect,1,7
toad,1,4
upright,1,7
halfherbit,1,10
pack,1,4
sheson,1,6
blab,1,4
enterpris,1,9
adam,1,4
infurn,1,6
anmonio,1,7
current,1,7
spurnd,1,6
box,1,3
sovereignti,1,11
conjur,1,6
inclin,1,6
thorough,1,8
provok,1,6
corag,1,5
seenst,1,6
poster,1,6
dote,1,4
athenian,1,8
bullset,1,7
chiefest,1,8
fland,1,5
unitanc,1,7
cain,1,4
golden,1,6
grass,1,5
growth,1,6
abhorrd,1,7
do,1,2
filthi,1,6
unweep,1,6
jolt,1,4
torn,1,4
burgundi,1,8
euphin,1,6
durst,1,5
cool,1,4
gludg,1,5
digest,1,6
accid,1,5
georg,1,5
yonder,1,6
scurvi,1,6
breedingwomen,1,13
eight,1,5
prelat,1,6
luckless,1,8
breathinggild,1,13
vow,1,3
leaden,1,6
popen,1,5
unthank,1,7
bird,1,4
overnend,1,8
errlight,1,8
beam,1,4
groan,1,5
incur,1,5
unspeak,1,7
petti,1,5
enviou,1,6
brabbl,1,6
freebookboy,1,11
enforc,1,6
plagu,1,5
selfsweet,1,9
iv,1,2
billow,1,6
midst,1,5
eightingli,1,10
san,1,3
shortli,1,7
tybalt,1,6
hern,1,4
protector,1,9
defund,1,6
dozen,1,5
idl,1,3
lethu,1,5
cheerli,1,7
wedg,1,4
crownd,1,6
pant,1,4
prensword,1,9
senior,1,6
unroar,1,6
benefit,1,7
guess,1,5
